architecture,task_id,level,question,ground_truth,predicted,score,correct,hop1,source,steps,tool_calls,tokens,time_sec
context_reader,22,medium,"Which type of bird is named after Thomas Bewick, an English engraver and ornithologist, who speciali",A SWAN,Bewick's Wren is named after him.,0.0,False,WEB,WEB,1,1,172,2.45
context_reader,23,easy,"""By what 4 letter word is the """"bulb"""" of a crocus more correctly known?""",Corm,Saffron is the answer.,0.0,False,WEB,WEB,1,1,206,1.86
context_reader,24,easy,Which Scot was Glenn Hoddle's assistant in the 'England job'?,JOHN GORMAN,John Gorman was assistant.,1.0,True,WEB,WEB,1,1,182,3.75
context_reader,25,hard,"What is the term for the attribution of human characteristics to non-human creatures and beings, phe",Anthropomorphism,Attribution of human characteristics.,0.0,False,WEB,WEB,1,1,169,4.37
context_reader,26,easy,What is the traditional Maori greeting in which people press noses together?,Hongi,The Hongi is the greeting.,1.0,True,WEB,WEB,1,1,210,2.15
context_reader,27,easy,What colour is the star on the national flag of Liberia?,WHITE,The star is white.,1.0,True,WEB,WEB,1,1,191,1.82
context_reader,28,easy,Who on TV is the Naked Chef,Jamie Oliver,Jamie Oliver is the Naked Chef.,1.0,True,WEB,WEB,1,1,172,1.53
context_reader,29,easy,What was the middle name of ex-US President Gerald Ford?,Rudolph,Rudolph was his middle name.,1.0,True,WEB,WEB,1,1,161,1.84
context_reader,30,easy,In music theory what is the relative minor chord of C major?,A minor,The relative minor of C major is A minor.,1.0,True,WEB,WEB,1,1,211,3.59
context_reader,31,easy,"In October 2015, which city was named by VisitEngland as the ‘Home of English Sport’?",Nottingham,"Nottingham was named ""Home"".",1.0,True,WEB,WEB,1,1,232,2.0
context_reader,32,medium,What is the name of the Lord played by Rik Mayall in the UK television series ‘Blackadder Goes Forth,Lord Flashheart,Squadron Commander The Lord Flashheart.,1.0,True,WEB,WEB,1,1,178,2.55
context_reader,33,easy,What literally means ‘submission to God’ in Arabic?,Islam,Islam literally means submission.,1.0,True,WEB,WEB,1,1,160,2.09
context_reader,34,easy,What ancient monument and tourist attraction would you see at Carnac in northern France?,Menhirs,Carnac stones megaliths menhirs.,1.0,True,WEB,WEB,1,1,172,3.06
context_reader,35,easy,In which town is the most northerly cricket Test venue in the world?,Chester le Street,"Kingstown, Saint Vincent.",0.0,False,WEB,WEB,1,1,199,1.87
context_reader,36,easy,What number on the BeauforT Scale equates to a gale?,8,Beaufort Scale 8 is gale.,1.0,True,WEB,WEB,1,1,212,4.15
context_reader,37,hard,The first civilians executed for espionage in the United States for passing atomic bomb secrets to t,Julius and Ethel Rosenberg,Julius and Ethel Rosenberg.,1.0,True,WEB,WEB,1,1,211,2.19
context_reader,38,easy,What have you lost if you are suffering from anosmia,Sense of smell,Sense of Smell.,1.0,True,WEB,WEB,1,1,243,2.12
context_reader,39,easy,What is the name of Tokyo's seaport ?,YOKOHAMA,Port of Tokyo.,0.0,False,WEB,WEB,1,1,197,1.92
context_reader,40,easy,What is the title of the chief of a lifeboat crew,Coxswain,Coxswain of a lifeboat,1.0,True,WEB,WEB,1,1,176,2.04
context_reader,41,easy,A frugivore feeds on what?,Fruit,Fruits and other plant parts.,1.0,True,WEB,WEB,1,1,227,2.34
context_reader,42,easy,In which film does crooked computer programmer Dennis Nedry cause havoc?,Jurassic Park,C++ is used in Jurassic Park.,1.0,True,WEB,WEB,1,1,197,2.13
context_reader,43,easy,By the year 2010 there were roughly how many bicycles worldwide?,1 billion,Roughly one billion bicycles worldwide.,1.0,True,WEB,WEB,1,1,235,2.01
context_reader,44,easy,"According to the Scaffold song 'Lily the Pink', who had 'terrible freckles'?",Jennifer Eccles,Mr. Frears had terrible freckles.,0.0,False,WEB,WEB,1,1,131,2.59
context_reader,45,easy,What is the title of the final and unfinished novel by Charles Dickens?,The Mystery of Edwin Drood,The Mystery of Edwin Drood.,1.0,True,WEB,WEB,1,1,181,2.51
context_reader,46,easy,In which US state is the world’s largest volcano?,Hawaii,The state is Hawaii.,1.0,True,WEB,WEB,1,1,272,2.22
context_reader,47,easy,Which county did Ian Botham join when he left Somerset,Worcestershire,Worcestershire county cricket club.,1.0,True,WEB,WEB,1,1,157,1.74
context_reader,48,easy,The American roadrunner belongs to which family of birds?,Cuckoo,Cuculidae family of birds.,0.0,False,WEB,WEB,1,1,285,3.39
context_reader,49,medium,"What name is given to the dark gap between the rings of the planet Saturn, discovered in 1675?",Cassini's Division,The Cassini Division of Saturn.,1.0,True,WEB,WEB,1,1,225,2.11
context_reader,50,easy,Which Europeans have been proved to have reached North America before Christopher Columbus?,Vikings,The Norse people from Scandinavia.,0.0,False,WEB,WEB,1,1,150,3.08
context_reader,51,medium,Sixty year old Cristina Fernandez de Kirchner is the current president of which South American count,ARGENTINA,Cristina Fernandez de Kirchner is Argentine.,0.0,False,WEB,WEB,1,1,145,1.65
context_reader,52,easy,What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop.,Lamb Chop was the puppet.,1.0,True,WEB,WEB,1,1,171,4.0
context_reader,53,easy,Vestiphobia is the irrational fear of which items?,Clothes,Irrational fear of clothing.,0.0,False,WEB,WEB,1,1,172,1.75
context_reader,54,easy,What was the first name of the father of the Bronte sisters?,PATRICK,Patrick Brontë was his name.,1.0,True,WEB,WEB,1,1,205,2.55
context_reader,55,easy,Which major computer language shares it's name with an Indonesian Island ?,JAVA,"The programming language ""Java"" is named after.",1.0,True,WEB,WEB,1,1,137,2.57
context_reader,56,easy,In which book did Edgar Linton marry Catherine Eamshaw?,WUTHERING HEIGHTS,Wuthering Heights by Emily Brontë.,1.0,True,WEB,WEB,1,1,219,2.64
context_reader,57,easy,"Which Italian liqueur is a key ingredient of the well known cocktail, Harvey Wallbanger?",GALLIANO,Galliano is the Italian liqueur.,1.0,True,WEB,WEB,1,1,368,2.89
context_reader,58,easy,"Staten Island, New York, is at the mouth of which river?",Hudson,New York Harbor.,0.0,False,WEB,WEB,1,1,239,2.0
context_reader,59,hard,"The Statue of Liberty, officially presented to the United States on July 4, 1884, holds a torch and ",Right,The torch is held right.,1.0,True,WEB,WEB,1,1,186,1.7
context_reader,60,easy,Of which country is Yingluck Shinawatra the Prime Minister?,THAILAND,Thailand.,1.0,True,WEB,WEB,1,1,170,2.33
context_reader,61,easy,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",LAVOISIER,Antoine Lavoisier was guillotined.,1.0,True,WEB,WEB,1,1,155,1.86
context_reader,62,easy,Who wrote the opera Faust in 1859?,Charles Gounod,Charles Gounod wrote Faust.,1.0,True,WEB,WEB,1,1,230,3.33
context_reader,63,easy,"Neal Foulds, John Dunning and Mark Williams are associated with which sport?",Snooker,Snooker players.,1.0,True,WEB,WEB,1,1,215,1.92
context_reader,64,easy,Who is the current presenter of BBC Radio 4 programme Desert Island Discs?,Kirsty Young,Lauren Laverne is presenter.,0.0,False,WEB,WEB,1,1,190,2.03
context_reader,65,medium,"Dragon boat racing, as part of a complex of ceremonies, is thought to have originated where?",China,Southern central China.,1.0,True,WEB,WEB,1,1,129,1.59
context_reader,66,easy,What is the pole called which is used for propelling a barge or punt?,A quant,Quant or setting pole.,1.0,True,WEB,WEB,1,1,152,1.79
context_reader,67,easy,The Walker Art Gallery is in which UK city?,Liverpool,The Walker Art Gallery is in Liverpool.,1.0,True,WEB,WEB,1,1,110,2.63
context_reader,68,medium,"Who performed in the first concert link into space, which was sent from Anaheim California to the sp",Paul McCartney,Paul McCartney performed live music.,1.0,True,WEB,WEB,1,1,170,1.92
context_reader,69,easy,Which canal is known as the 'Highway to India'?,Suez Canal,Suez Canal is the answer.,1.0,True,WEB,WEB,1,1,153,1.59
context_reader,70,easy,What major American city is located on Puget Sound?,Seattle,The city of Seattle.,1.0,True,WEB,WEB,1,1,158,2.29
context_reader,71,medium,"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, b",Egypt,Egypt.,1.0,True,WEB,WEB,1,1,209,2.22
context_reader,72,hard,What is the name for a set of marks stamped on gold and silver articles to attest to the genuineness,Hall Mark,Hallmarks.,1.0,True,WEB,WEB,1,1,272,2.29
context_reader,73,easy,Who played the role of George Carter in The Sweeney?,Dennis Waterman,Dennis Waterman played George Carter.,1.0,True,WEB,WEB,1,1,219,2.53
context_reader,74,easy,What is the main ingredient in borscht?,Beetroot,Red beetroots are main ingredients.,1.0,True,WEB,WEB,1,1,229,2.05
context_reader,75,easy,"""In the film of the same name, what was the name of """"The Hustler""""?""","""""""Fast Eddie"""" Felson""","""Fast Eddie"" Felson.",1.0,True,WEB,WEB,1,1,243,4.54
context_reader,76,easy,Which Russian author died at Astapovo Railway Station in 1910 of pneumonia?,Leo Tolstoy,Leo Tolstoy died there.,1.0,True,WEB,WEB,1,1,175,2.57
context_reader,77,easy,What country does Waterford crystal come from?,Ireland,Waterford crystal comes from Ireland.,1.0,True,WEB,WEB,1,1,152,2.54
context_reader,78,easy,Who was the Georgia Peach?,Ty Cobb,"Ty Cobb, baseball player.",1.0,True,WEB,WEB,1,1,155,2.5
context_reader,79,easy,What railway line is green on the traditional map of the London Underground (Tube)?,District Line,The Central Line is green.,0.0,False,WEB,WEB,1,1,139,1.66
context_reader,80,medium,"What were Scotsmen prohibited from wearing 1746-1782 under the Highland Garb Act, after the rising i",Tartan,"Kilts, tartans, and traditional clothing.",1.0,True,WEB,WEB,1,1,210,2.34
context_reader,81,hard,The Black Hawk War was for possession of lands east of the Mississippi. In which modern day state wa,Illinois,Illinois was the location.,1.0,True,WEB,WEB,1,1,197,2.98
context_reader,82,easy,"Who won the Best Actress Oscar for the 1988 film, The Accused?",Jodie Foster,Jodie Foster won the Oscar.,1.0,True,WEB,WEB,1,1,164,2.89
context_reader,83,medium,"The fictitious station of Walford East, which features in the UK television series ‘Eastenders’, rep",Bromley-By-Bow,Bromley-by-Bow tube station.,1.0,True,WEB,WEB,1,1,195,1.72
context_reader,84,easy,"""""""Yabba dabba doo"""" was a catch-phrase in which cartoon series?""",The Flintstones,The Flintstones cartoon series.,1.0,True,WEB,WEB,1,1,320,3.15
context_reader,85,easy,"Vijay Singh, a US Masters champion, comes from where?",Fiji,"Fiji, of Indian descent.",1.0,True,WEB,WEB,1,1,273,5.16
context_reader,86,easy,What is the equivalent rank in the British Army of the German rank Oberst?,COLONEL,Colonel is the equivalent rank.,1.0,True,WEB,WEB,1,1,316,1.83
context_reader,87,easy,The razorbill and guillemot are members of which bird family?,AUK,Family Alcidae (Auks and Guillemots),1.0,True,WEB,WEB,1,1,254,4.18
context_reader,88,easy,"Which jockey, later famous in another sphere, rode Devon Loch in the 1956 Grand National?",DICK FRANCIS,Dick Francis rode Devon Loch.,1.0,True,WEB,WEB,1,1,218,2.86
context_reader,89,easy,Which is the only US state to begin with the letter ‘U’?,Utah,Utah is the answer.,1.0,True,WEB,WEB,1,1,141,2.03
context_reader,90,easy,Jimmy Wales and Larry Sanger founded which website in 2001?,Wikipedia,Wikipedia founded by Jimmy Wales.,1.0,True,WEB,WEB,1,1,239,1.93
context_reader,91,easy,The Inca people lived in which continent before conquest by the Spanish?,South America,South America before Spanish conquest.,1.0,True,WEB,WEB,1,1,249,2.52
context_reader,92,easy,Elliot Carver is the villain in which James Bond film?,Tomorrow Never Dies,Tomorrow Never Dies (1997),1.0,True,WEB,WEB,1,1,285,2.59
context_reader,93,medium,"In physics, what is a substance that continually deforms/flows under applied stress, including liqui",Fluid,A substance that continually deforms/flows under stress.,0.0,False,WEB,WEB,1,1,238,2.51
context_reader,94,easy,Who is the current (Jan 2014) Secretary of State for Education?,Michael Gove,Ted Mitchell (Jan 2014),0.0,False,WEB,WEB,1,1,152,2.51
context_reader,95,hard,"Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a ",The Calgary Stampede,Calgary Stampede.,1.0,True,WEB,WEB,1,1,184,1.97
context_reader,96,medium,"Which American wit said, 'This is not a novel to be tossed aside lightly. It should be thrown with g",Dorothy Parker,Dorothy Parker said the quote.,1.0,True,WEB,WEB,1,1,197,4.04
context_reader,97,easy,"""What profession requires the artist to know about """"F stops""""?""",Photography,Photography requires F stop knowledge.,1.0,True,WEB,WEB,1,1,119,3.8
context_reader,98,medium,"In Wagner's opera 'Das Rheingold', what was the name of the dwarf who stole the gold from the 'Rhine",'ALBERICH',Alberich the dwarf stole gold.,1.0,True,WEB,WEB,1,1,180,2.4
context_reader,99,medium,"In 2005, Dan Wheldon became the first British competitor to win what event in over 30 years?",Indianapolis 500,Indianapolis 500.,1.0,True,WEB,WEB,1,1,189,2.02
