architecture,task_id,level,question,ground_truth,predicted,score,correct,confidence,votes,a1,a2,a3,steps,tool_calls,tokens,time_sec
arc_v2,15,medium,Which was the first group to have a number one hit in the USA for Motown Records?,The Marvelettes,The Marvellettes were first.,0.0,False,LOW,1/3,The Marvellettes were first.,The Otoe-Missouria Tribe.,The Miracles were first.,3,3,393,13.41
arc_v2,16,easy,Where are the police called heddlu?,Wales,"Wales, specifically Welsh-speaking areas.",1.0,True,LOW,1/3,"Wales, United Kingdom.","Wales, specifically Welsh-speaking areas.","In Wales, they are called heddlu.",3,3,416,11.8
arc_v2,17,medium,"""Which horse race meeting, for """"The Gold Cup"""", was first run in 1711 and is held on 7 June each ye",Royal Ascot,Royal Ascot Gold Cup.,1.0,True,MEDIUM,2/3,Royal Ascot Gold Cup.,Ascot Gold Cup.,Cheltenham Festival.,3,3,139,17.92
arc_v2,18,hard,"In which city can you visit the Luigi Ferraris Stadium, the gardens of the Villa Durazzo-Pallavicini",Genoa,"Genoa, Italy.",1.0,True,MEDIUM,2/3,The city is Genoa.,"Genoa, Italy.","Genoa, Italy.",3,3,305,9.42
arc_v2,19,easy,According to Latin grammatical rules what is the singular of candelabra?,Candelabrum,Candelabrum is the singular form.,1.0,True,HIGH,3/3,Candēlābrum is the singular form.,Candelabrum is the singular form.,Candelabrum.,3,3,358,12.66
arc_v2,20,easy,What island is shared by Haiti and the Dominican Republic?,Hispaniola,The island of Hispaniola.,1.0,True,HIGH,3/3,The island of Hispaniola.,Hispaniola island.,Hispaniola Island.,3,3,353,12.91
arc_v2,21,medium,What is the short metonymic name of the chief usher of the Lord Chamberlain's department of the UK H,Black Rod,The Black Rod.,1.0,True,MEDIUM,2/3,The Lord Chamberlain.,The Black Rod.,The Black Rod.,3,3,342,4.46
arc_v2,22,medium,"Which type of bird is named after Thomas Bewick, an English engraver and ornithologist, who speciali",A SWAN,Bewick's Wren.,0.0,False,HIGH,3/3,Bewick's Wren.,Bewick's Wren.,Bewick's Wren.,3,3,199,19.12
arc_v2,23,easy,"""By what 4 letter word is the """"bulb"""" of a crocus more correctly known?""",Corm,The evidence is missing.,0.0,False,MEDIUM,2/3,The evidence is missing.,The evidence is missing.,Corm.,3,3,35,17.75
arc_v2,24,easy,Which Scot was Glenn Hoddle's assistant in the 'England job'?,JOHN GORMAN,"John Gorman, a Scot.",1.0,True,LOW,1/3,"John Gorman, a Scot.",John Gorman was assistant.,Terry Venables was assistant.,3,3,349,17.61
arc_v2,25,hard,"What is the term for the attribution of human characteristics to non-human creatures and beings, phe",Anthropomorphism,Anthropomorphism.,1.0,True,MEDIUM,2/3,Attribution of human characteristics.,Anthropomorphism.,Anthropomorphism.,3,3,318,5.1
arc_v2,26,easy,What is the traditional Maori greeting in which people press noses together?,Hongi,The traditional Maori greeting is called Hongi.,1.0,True,MEDIUM,2/3,The traditional Maori greeting is called Hongi.,"The traditional Maori greeting is called ""hongi"".","Kia ora, nose pressing.",3,3,368,15.62
arc_v2,27,easy,What colour is the star on the national flag of Liberia?,WHITE,The star is white.,1.0,True,LOW,1/3,The star is white.,No evidence found.,No information available.,3,3,321,9.72
arc_v2,28,easy,Who on TV is the Naked Chef,Jamie Oliver,Jamie Oliver is the Naked Chef.,1.0,True,HIGH,3/3,Jamie Oliver is the Naked Chef.,Jamie Oliver is Naked Chef.,Jamie Oliver is Naked Chef.,3,3,661,12.33
arc_v2,29,easy,What was the middle name of ex-US President Gerald Ford?,Rudolph,Rudolph.,1.0,True,MEDIUM,2/3,Rudolph.,Gerald Rudolph Ford Jr.,Ellsworth.,3,3,355,15.83
arc_v2,30,easy,In music theory what is the relative minor chord of C major?,A minor,A minor is relative minor.,1.0,True,HIGH,3/3,A minor chord based on the 6th scale degree.,A minor is relative to C major.,A minor is relative minor.,3,3,336,7.03
arc_v2,31,easy,"In October 2015, which city was named by VisitEngland as the ‘Home of English Sport’?",Nottingham,Nottingham was named 'Home of English Sport'.,1.0,True,LOW,1/3,Nottingham was named 'Home of English Sport'.,No evidence found.,"Unfortunately, I couldn't find the answer.",3,3,354,6.99
arc_v2,32,medium,What is the name of the Lord played by Rik Mayall in the UK television series ‘Blackadder Goes Forth,Lord Flashheart,Lord Flasheart.,1.0,True,MEDIUM,2/3,Lord Flasheart.,General Melchett,Lord Flashheart.,4,3,408,7.11
arc_v2,33,easy,What literally means ‘submission to God’ in Arabic?,Islam,Submission to God.,0.0,False,MEDIUM,2/3,Submission to God.,Submission to God.,Islam.,3,3,356,15.0
arc_v2,34,easy,What ancient monument and tourist attraction would you see at Carnac in northern France?,Menhirs,Stonehenge-like stone alignments.,0.0,False,MEDIUM,2/3,Standing stones and burial mounds.,Stonehenge-like stone alignments.,Stonehenge-like stone alignments.,3,3,406,6.34
arc_v2,35,easy,In which town is the most northerly cricket Test venue in the world?,Chester le Street,Berwick upon Tweed.,0.0,False,LOW,1/3,Víðistaðatún in Iceland.,Berwick upon Tweed.,"Aberdeen, Scotland.",3,3,354,17.39
arc_v2,36,easy,What number on the BeauforT Scale equates to a gale?,8,Beaufort force 8 is gale.,1.0,True,HIGH,3/3,Beaufort force 8 is gale.,Force 8 equates to a gale.,8 is a gale.,3,3,331,12.9
arc_v2,37,hard,The first civilians executed for espionage in the United States for passing atomic bomb secrets to t,Julius and Ethel Rosenberg,Julius and Ethel Rosenberg.,1.0,True,MEDIUM,2/3,Julius and Ethel Rosenberg.,The Rosenbergs were executed.,Julius and Ethel Rosenberg.,3,3,275,13.82
arc_v2,38,easy,What have you lost if you are suffering from anosmia,Sense of smell,Sense of Smell,1.0,True,HIGH,3/3,Sense of Smell,Sense of smell.,Sense of smell.,3,3,402,4.95
arc_v2,39,easy,What is the name of Tokyo's seaport ?,YOKOHAMA,The Port of Tokyo.,0.0,False,HIGH,3/3,The Port of Tokyo.,The Port of Tokyo.,Tokyo Port or Tokyo Bay,3,3,416,10.76
arc_v2,40,easy,What is the title of the chief of a lifeboat crew,Coxswain,Coastguard or Lifeboat Coxswain.,1.0,True,LOW,1/3,The helm is responsible.,There is no evidence provided.,Coastguard or Lifeboat Coxswain.,3,3,305,5.09
arc_v2,41,easy,A frugivore feeds on what?,Fruit,Fruits.,1.0,True,HIGH,3/3,Fruits and other plant foods.,Fruits.,Fruits and seeds primarily.,3,3,202,12.22
arc_v2,42,easy,In which film does crooked computer programmer Dennis Nedry cause havoc?,Jurassic Park,"Jurassic Park film, 1993.",1.0,True,MEDIUM,2/3,"Jurassic Park film, 1993.",Jurassic Park with Wayne Knight.,Jurassic Park (1993) film adaptation.,3,3,592,6.74
arc_v2,43,easy,By the year 2010 there were roughly how many bicycles worldwide?,1 billion,Over one billion bicycles.,1.0,True,MEDIUM,2/3,Over one billion worldwide.,Over one billion bicycles.,Over one billion bicycles.,3,3,193,14.17
arc_v2,44,easy,"According to the Scaffold song 'Lily the Pink', who had 'terrible freckles'?",Jennifer Eccles,Lily the Pink herself.,0.0,False,LOW,1/3,Mr. Frears had terrible freckles.,Lily the Pink herself.,I'm not aware.,4,3,378,12.58
arc_v2,45,easy,What is the title of the final and unfinished novel by Charles Dickens?,The Mystery of Edwin Drood,The Mystery of Edwin Drood.,1.0,True,HIGH,3/3,The Mystery of Edwin Drood.,The Mystery of Edwin Drood.,The Mystery of Edwin Drood.,3,3,343,9.3
arc_v2,46,easy,In which US state is the world’s largest volcano?,Hawaii,Hawaii is home to it.,1.0,True,LOW,1/3,Hawaii is home to it.,The state of Hawaii.,"Hawaii, Mauna Loa volcano.",3,3,341,11.62
arc_v2,47,easy,Which county did Ian Botham join when he left Somerset,Worcestershire,Worcestershire County Cricket Club.,1.0,True,MEDIUM,2/3,Worcestershire and then Durham later.,Worcestershire County Cricket Club.,Yorkshire County Cricket Club.,3,3,332,15.52
arc_v2,48,easy,The American roadrunner belongs to which family of birds?,Cuckoo,Family Cuculidae.,0.0,False,MEDIUM,2/3,Cuckoo bird family.,Family Cuculidae.,Cuculidae family of birds.,3,3,453,11.58
arc_v2,49,medium,"What name is given to the dark gap between the rings of the planet Saturn, discovered in 1675?",Cassini's Division,The Cassini Division.,1.0,True,HIGH,3/3,The Cassini Division.,Cassini Division.,Cassini Division.,3,3,296,12.69
arc_v2,50,easy,Which Europeans have been proved to have reached North America before Christopher Columbus?,Vikings,Norse Vikings and Giovanni da Verrazzano.,1.0,True,LOW,1/3,Norse Vikings and Giovanni da Verrazzano.,Viking explorers and settlers.,Viking Leif Erikson's expedition.,3,3,374,13.6
arc_v2,51,medium,Sixty year old Cristina Fernandez de Kirchner is the current president of which South American count,ARGENTINA,Argentina's President Cristina Fernandez.,1.0,True,HIGH,3/3,Argentina's current president.,"Cristina Fernandez de Kirchner, Argentina.",Argentina's President Cristina Fernandez.,3,3,363,12.09
arc_v2,52,easy,What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop.,Lamb Chop.,1.0,True,HIGH,3/3,Lamb Chop.,Lamb Chop.,Lamb Chop.,3,3,375,11.16
arc_v2,53,easy,Vestiphobia is the irrational fear of which items?,Clothes,Irrational fear of clothing.,0.0,False,MEDIUM,2/3,Irrational fear of clothing.,Irrational fear of clothing.,Clothing or dressing.,3,3,344,4.77
arc_v2,54,easy,What was the first name of the father of the Bronte sisters?,PATRICK,Patrick Brontë's first name is Patrick.,1.0,True,HIGH,3/3,Patrick Brontë's first name is Patrick.,Patrick Brontë.,Patrick Prunty Brontë.,3,3,300,9.69
arc_v2,55,easy,Which major computer language shares it's name with an Indonesian Island ?,JAVA,Java.,1.0,True,HIGH,3/3,Java Programming Language.,Java shares its name with Bali.,Java.,3,3,420,18.05
arc_v2,56,easy,In which book did Edgar Linton marry Catherine Eamshaw?,WUTHERING HEIGHTS,Wuthering Heights by Emily Brontë.,1.0,True,HIGH,3/3,Wuthering Heights by Emily Brontë.,Wuthering Heights by Emily Brontë.,Wuthering Heights by Emily Brontë.,3,3,332,9.75
arc_v2,57,easy,"Which Italian liqueur is a key ingredient of the well known cocktail, Harvey Wallbanger?",GALLIANO,Galliano Italian liqueur.,1.0,True,HIGH,3/3,Galliano Italian liqueur.,Bitter or Galliano liqueur.,Disaronno is the Italian liqueur.,3,3,356,13.74
arc_v2,58,easy,"Staten Island, New York, is at the mouth of which river?",Hudson,Arthur Kill and Kill van Kull.,0.0,False,LOW,1/3,Arthur Kill and Kill van Kull.,Arthur Kill River.,The Narrows of New York Harbor.,3,3,344,18.57
arc_v2,59,hard,"The Statue of Liberty, officially presented to the United States on July 4, 1884, holds a torch and ",Right,In her right hand.,1.0,True,LOW,1/3,The torch is held with the right hand.,In her right hand.,The evidence is missing.,3,3,365,6.02
arc_v2,60,easy,Of which country is Yingluck Shinawatra the Prime Minister?,THAILAND,Thailand.,1.0,True,HIGH,3/3,Thailand.,Thailand's Prime Minister.,Thailand.,3,3,454,9.83
arc_v2,61,easy,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",LAVOISIER,"Antoine Lavoisier, Father of Modern Chemistry.",1.0,True,LOW,1/3,"Antoine Lavoisier, Father of Modern Chemistry.",Antoine Lavoisier was guillotined.,Antoine Lavoisier was beheaded.,3,3,500,9.58
arc_v2,62,easy,Who wrote the opera Faust in 1859?,Charles Gounod,Charles Gounod wrote Faust.,1.0,True,HIGH,3/3,Charles Gounod wrote Faust.,Charles Gounod wrote Faust.,Charles Gounod wrote Faust.,3,3,747,10.65
arc_v2,63,easy,"Neal Foulds, John Dunning and Mark Williams are associated with which sport?",Snooker,Professional Snooker Players.,1.0,True,LOW,1/3,Professional Snooker Players.,Snooker players association.,Darts players.,3,3,387,5.2
arc_v2,64,easy,Who is the current presenter of BBC Radio 4 programme Desert Island Discs?,Kirsty Young,Lauren Laverne and Kirsty Young.,1.0,True,LOW,1/3,Lauren Laverne is presenter.,Lauren Laverne and Kirsty Young.,Lauren Laverne presents Desert Island.,3,3,351,6.49
arc_v2,65,medium,"Dragon boat racing, as part of a complex of ceremonies, is thought to have originated where?",China,Southern central China.,1.0,True,LOW,1/3,Southern central China.,Ancient Chinese agricultural society.,Ancient China is the origin.,3,3,485,11.77
arc_v2,66,easy,What is the pole called which is used for propelling a barge or punt?,A quant,Quant or setting pole.,1.0,True,MEDIUM,2/3,Quant or setting pole.,Pole is not relevant here.,"Pole is called a ""punt pole"".",3,3,330,13.15
arc_v2,67,easy,The Walker Art Gallery is in which UK city?,Liverpool,The Walker Art Gallery is in Liverpool.,1.0,True,MEDIUM,2/3,The Walker Art Gallery is in Liverpool.,The Walker Art Gallery is in Liverpool.,"Liverpool, England's north west.",3,3,304,17.05
arc_v2,68,medium,"Who performed in the first concert link into space, which was sent from Anaheim California to the sp",Paul McCartney,Linkin Park performed the concert.,0.0,False,MEDIUM,2/3,I couldn't find the answer.,Linkin Park performed the concert.,Linkin Park performed.,3,3,352,5.93
arc_v2,69,easy,Which canal is known as the 'Highway to India'?,Suez Canal,The Suez Canal.,1.0,True,HIGH,3/3,The Suez Canal.,Suez Canal is the answer.,Suez Canal is the answer.,3,3,383,11.01
arc_v2,70,easy,What major American city is located on Puget Sound?,Seattle,"Seattle, Washington.",1.0,True,LOW,1/3,Seattle and others nearby.,Seattle is on Puget Sound.,"Seattle, Washington.",3,3,365,10.85
arc_v2,71,medium,"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, b",Egypt,Egypt.,1.0,True,HIGH,3/3,Egypt.,Egypt.,Egypt is a North African country.,3,3,436,4.84
arc_v2,72,hard,What is the name for a set of marks stamped on gold and silver articles to attest to the genuineness,Hall Mark,Hallmark.,1.0,True,HIGH,3/3,Jewelry hallmarks or maker's marks.,Hallmarking.,Hallmark.,3,3,337,7.19
arc_v2,73,easy,Who played the role of George Carter in The Sweeney?,Dennis Waterman,Dennis Waterman played George Carter.,1.0,True,MEDIUM,2/3,Dennis Waterman played George Carter.,Dennis Waterman played George Carter.,John Thaw played George Carter.,3,3,301,17.82
arc_v2,74,easy,What is the main ingredient in borscht?,Beetroot,Beetroot is the main ingredient.,1.0,True,HIGH,3/3,Beetroot is the main ingredient.,Beets are the main ingredient.,Beetroot.,3,3,386,5.11
arc_v2,75,easy,"""In the film of the same name, what was the name of """"The Hustler""""?""","""""""Fast Eddie"""" Felson""",Fast Eddie Felson.,1.0,True,LOW,1/3,Fast Eddie Felson.,The Hustler (film),"Ralph ""The Shark"" Midge",3,3,443,12.33
arc_v2,76,easy,Which Russian author died at Astapovo Railway Station in 1910 of pneumonia?,Leo Tolstoy,Leo Tolstoy died there.,1.0,True,HIGH,3/3,Leo Tolstoy died there.,Leo Tolstoy died there.,Leo Tolstoy died there.,3,3,490,18.84
arc_v2,77,easy,What country does Waterford crystal come from?,Ireland,"Ireland, home of Waterford Crystal.",1.0,True,HIGH,3/3,"Ireland, home of Waterford Crystal.","Ireland, home of Waterford Crystal.","Ireland, specifically County Waterford.",3,3,566,6.03
arc_v2,78,easy,Who was the Georgia Peach?,Ty Cobb,Ty Cobb and a fruit.,1.0,True,MEDIUM,2/3,Ty Cobb and a fruit.,Ty Cobb and a fruit.,Ty Cobb was known as.,3,3,258,6.61
arc_v2,79,easy,What railway line is green on the traditional map of the London Underground (Tube)?,District Line,The District Line is green.,1.0,True,LOW,1/3,The District Line is green.,The London Underground's District Line.,The Metropolitan Line is green.,3,3,643,6.18
arc_v2,80,medium,"What were Scotsmen prohibited from wearing 1746-1782 under the Highland Garb Act, after the rising i",Tartan,Tartan and kilts.,1.0,True,LOW,1/3,Highland dress and tartan patterns.,The plaid.,Tartan and kilts.,3,3,409,8.84
arc_v2,81,hard,The Black Hawk War was for possession of lands east of the Mississippi. In which modern day state wa,Illinois,Illinois.,1.0,True,HIGH,3/3,Illinois was the site of confrontation.,Illinois.,Illinois was the location.,3,3,335,6.72
arc_v2,82,easy,"Who won the Best Actress Oscar for the 1988 film, The Accused?",Jodie Foster,Jodie Foster won it.,1.0,True,LOW,1/3,Cher won the Best Actress Oscar.,Jodie Foster won the Oscar.,Jodie Foster won it.,3,3,368,13.08
arc_v2,83,medium,"The fictitious station of Walford East, which features in the UK television series ‘Eastenders’, rep",Bromley-By-Bow,Bromley-by-Bow tube station.,1.0,True,LOW,1/3,Bromley-by-Bow tube station.,Mile End station on map.,West Ham Station is replaced.,3,3,347,10.99
arc_v2,84,easy,"""""""Yabba dabba doo"""" was a catch-phrase in which cartoon series?""",The Flintstones,The Flintstones cartoon series.,1.0,True,HIGH,3/3,The Flintstones cartoon series.,The Flintstones cartoon series.,The Flintstones.,3,3,484,15.48
arc_v2,85,easy,"Vijay Singh, a US Masters champion, comes from where?",Fiji,"Fiji, a Pacific island nation.",1.0,True,HIGH,3/3,"Fiji, a Pacific island nation.",Fiji.,Fiji.,3,3,351,7.99
arc_v2,86,easy,What is the equivalent rank in the British Army of the German rank Oberst?,COLONEL,Colonel.,1.0,True,HIGH,3/3,Colonel.,Colonel is equivalent to Oberst.,Colonel.,3,3,315,6.33
arc_v2,87,easy,The razorbill and guillemot are members of which bird family?,AUK,Alcidae bird family.,0.0,False,HIGH,3/3,Family Alcidae (Auks).,The bird family Alcidae.,Alcidae bird family.,3,3,422,18.24
arc_v2,88,easy,"Which jockey, later famous in another sphere, rode Devon Loch in the 1956 Grand National?",DICK FRANCIS,Dick Francis rode Devon Loch.,1.0,True,LOW,1/3,Dick Francis rode Devon Loch.,Red Pollard rode Devon Loch.,Richard Pitman was jockey.,3,3,357,13.19
arc_v2,89,easy,Which is the only US state to begin with the letter ‘U’?,Utah,Utah is the answer.,1.0,True,HIGH,3/3,Utah is the answer.,Utah is the answer.,Utah is the answer.,3,3,352,9.38
arc_v2,90,easy,Jimmy Wales and Larry Sanger founded which website in 2001?,Wikipedia,Wikipedia was founded by them.,1.0,True,HIGH,3/3,Wikipedia was founded by them.,Wikipedia was founded by them.,Wikipedia.,3,3,329,10.32
arc_v2,91,easy,The Inca people lived in which continent before conquest by the Spanish?,South America,South America.,1.0,True,HIGH,3/3,South America.,"South America, specifically Peru.",South America.,3,3,176,17.85
arc_v2,92,easy,Elliot Carver is the villain in which James Bond film?,Tomorrow Never Dies,Tomorrow Never Dies (1997),1.0,True,HIGH,3/3,Tomorrow Never Dies (1997),Tomorrow Never Dies (1997),Tomorrow Never Dies (1997),3,3,337,8.43
arc_v2,93,medium,"In physics, what is a substance that continually deforms/flows under applied stress, including liqui",Fluid,Fluid.,1.0,True,HIGH,3/3,Fluid.,A fluid or liquid.,Fluid.,3,3,174,20.36
arc_v2,94,easy,Who is the current (Jan 2014) Secretary of State for Education?,Michael Gove,Michael Gove (UK),1.0,True,LOW,1/3,Linda McMahon (not current),Marco Rubio (current),Michael Gove (UK),3,3,336,7.62
arc_v2,95,hard,"Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a ",The Calgary Stampede,Calgary Stampede is the event.,1.0,True,HIGH,3/3,Calgary Stampede is the event.,Calgary Stampede.,Calgary Stampede.,3,3,343,18.58
arc_v2,96,medium,"Which American wit said, 'This is not a novel to be tossed aside lightly. It should be thrown with g",Dorothy Parker,Dorothy Parker said it.,1.0,True,LOW,1/3,Dorothy Parker said it.,Douglas Adams said it.,Dorothy Parker's witty remark.,3,3,382,12.39
arc_v2,97,easy,"""What profession requires the artist to know about """"F stops""""?""",Photography,Photographer or Cinematographer.,0.0,False,HIGH,3/3,Photographer or Cinematographer.,Photographer or cinematographer.,Photographer or cinematographer.,3,3,206,12.61
arc_v2,98,medium,"In Wagner's opera 'Das Rheingold', what was the name of the dwarf who stole the gold from the 'Rhine",'ALBERICH',Alberich the dwarf stole the gold.,1.0,True,HIGH,3/3,Alberich the dwarf stole the gold.,"Alberich, a Nibelung dwarf.","Alberich, a dwarf, stole the gold.",3,3,413,12.24
arc_v2,99,medium,"In 2005, Dan Wheldon became the first British competitor to win what event in over 30 years?",Indianapolis 500,Indianapolis 500.,1.0,True,MEDIUM,2/3,Indianapolis 500.,Indy 500 in over 30 years.,Indianapolis 500.,3,3,377,7.11
