architecture,task_id,level,question,ground_truth,predicted,score,correct,partial,failure_cat,steps,tool_calls,tokens,time_sec,tool_usage,strategy,trace
react,20,easy,What island is shared by Haiti and the Dominican Republic?,Hispaniola,Hispaniola.,1.0,True,False,correct,2,1,265,8.62,{'web_search': 1},react,"web_search(forced): Dominican Republic–Haiti border - Wikipedia: Map of Hispaniola showing the border between the Dominican Republic and Haiti.This has become a source of tension, arising from claims "
react,21,medium,What is the short metonymic name of the chief usher of the Lord Chamberlain's department of the UK H,Black Rod,"However, considering the context and the mention",0.0,False,False,knowledge_gap,2,1,366,12.66,{'web_search': 1},react,"web_search(forced): White House Chief Usher - Wikipedia: The White House chief usher is the head of household staff and operations at the White House, the official residence and principal workplace of"
react,22,medium,"Which type of bird is named after Thomas Bewick, an English engraver and ornithologist, who speciali",A SWAN,The final answer is: Bewick's Wren,0.0,False,False,knowledge_gap,2,1,354,11.15,{'web_search': 1},react,"web_search(forced): Thomas Bewick - Wikipedia: 4 weeks ago - In 1827, the American ornithologist John James Audubon illustrated the North American bird he dubbed Bewick's wren under the binomial name "
react,23,easy,"""By what 4 letter word is the """"bulb"""" of a crocus more correctly known?""",Corm,The final answer is SAFFR.,0.0,False,False,knowledge_gap,2,1,311,8.82,{'web_search': 1},react,web_search(forced): Crocus - Wikipedia: 2 weeks ago - Representations of the saffron crocus appear frequently in Minoan art and pervade Aegean art from the Early Bronze Age to the Mycenaean period. Th
react,24,easy,Which Scot was Glenn Hoddle's assistant in the 'England job'?,JOHN GORMAN,The final answer is John Gorman.,1.0,True,False,correct,2,1,425,13.55,{'web_search': 1},react,"web_search(forced): Glenn Hoddle - Wikipedia: April 2, 2026 - Hoddle also featured prominently in the European Championship squads of 1980 and 1988, making his 53rd and final international appearance "
react,25,hard,"What is the term for the attribution of human characteristics to non-human creatures and beings, phe",Anthropomorphism,"This includes giving human-like behaviors, speech, facial expressions, etc. to non-human characters in fiction and folklore, as well as using figurati",0.0,False,False,knowledge_gap,2,1,312,10.5,{'web_search': 1},react,"web_search(forced): Anthropomorphism - Wikipedia: 4 weeks ago - In fiction and folklore, it is specifically the endowing of non-human characters with human-like behaviors, speech, facial expressions, "
react,26,easy,What is the traditional Maori greeting in which people press noses together?,Hongi,"The traditional Maori greeting in which people press noses together is called ""Hongi"".",0.0,False,False,knowledge_gap,2,1,333,7.95,{'web_search': 1},react,"web_search(forced): Hongi - Wikipedia: March 17, 2026 - The hongi (Māori pronunciation: [ˈhɔŋi]) is a traditional Māori greeting performed by two people pressing their noses together, often including "
react,27,easy,What colour is the star on the national flag of Liberia?,WHITE,White,1.0,True,False,correct,2,1,289,8.37,{'web_search': 1},react,"web_search(forced): Flag of Liberia - Wikipedia: The Liberian flag has similar red and white stripes, as well as a blue square with a white star in the canton. It was adopted on 24 August 1847.

The L"
react,28,easy,Who on TV is the Naked Chef,Jamie Oliver,The Naked Chef is Jamie Oliver.,1.0,True,False,correct,2,1,260,8.21,{'web_search': 1},react,"web_search(forced): The Naked Chef - Wikipedia: The Naked Chef is a BBC Two cooking programme starring Jamie Oliver. It debuted in April 1999, and originally ran for three series plus three Christmas "
react,29,easy,What was the middle name of ex-US President Gerald Ford?,Rudolph,The middle name of ex-US President Gerald Ford is Rudolph.,0.0,False,False,knowledge_gap,2,1,305,6.92,{'web_search': 1},react,"web_search(forced): Gerald Ford - Wikipedia: Gerald Rudolph Ford Jr. (born Leslie Lynch King Jr.; July 14, 1913 – December 26, 2006) was the 38th president of the United States, serving from 1974 to 1"
react,30,easy,In music theory what is the relative minor chord of C major?,A minor,The final answer is A minor.,1.0,True,False,correct,2,1,294,8.42,{'web_search': 1},react,"web_search(forced): C major - Wikipedia: C major is a major scale based on C, consisting of the pitches C, D, E, F, G, A, and B. C major is one of the most common keys used in music. Its key signature"
react,31,easy,"In October 2015, which city was named by VisitEngland as the ‘Home of English Sport’?",Nottingham,The final answer is Nottingham.,1.0,True,False,correct,2,1,244,6.17,{'web_search': 1},react,"web_search(forced): Nottingham - Wikipedia: In October 2015, Nottingham was named as the official Home of Sport by VisitEngland,[169][170] for its sporting contributions and in recognition of its deve"
react,32,medium,What is the name of the Lord played by Rik Mayall in the UK television series ‘Blackadder Goes Forth,Lord Flashheart,The final answer is Lord Flashheart.,1.0,True,False,correct,2,1,395,12.43,{'web_search': 1},react,"web_search(forced): Rik Mayall - Wikipedia: 5 days ago - He and Edmondson had a regular section as ""The Dangerous Brothers"", their earlier stage act. In 1985, Mayall debuted another comic creation. He"
react,33,easy,What literally means ‘submission to God’ in Arabic?,Islam,The final answer is: Islam,1.0,True,False,correct,2,1,339,7.13,{'web_search': 1},react,"web_search(forced): Rohail Hyatt on X: ""The word Islam literally means ""submission"" in Arabic, referring to submission to Allah. The word Muslim refers to the one who submits only to Allah. Submission"
react,34,easy,What ancient monument and tourist attraction would you see at Carnac in northern France?,Menhirs,The Carnac stones.,0.0,False,False,knowledge_gap,2,1,311,8.93,{'web_search': 1},react,"web_search(forced): Carnac stones - Wikipedia: February 19, 2026 - The tumulus of Tumiac has been classified as a historical monument since 1923.

What to do in Carnac? Discover the menhirs, alignment"
react,35,easy,In which town is the most northerly cricket Test venue in the world?,Chester le Street,"If you'd like, I can try to help you find more information about cricket Test venues and their locations to narrow down the",0.0,False,False,knowledge_gap,2,1,452,14.69,{'web_search': 1},react,"web_search(forced): List of Test cricket grounds - Wikipedia: 2 weeks ago - On 8 July 2009, Sophia Gardens in Cardiff became the 100th Test venue. The Assam Cricket Association Stadium in Guwahati bec"
react,36,easy,What number on the BeauforT Scale equates to a gale?,8,The number on the Beaufort Scale that equates to a gale is **8**.,0.0,False,False,knowledge_gap,2,1,362,12.61,{'web_search': 1},react,"web_search(forced): Beaufort scale - Wikipedia: 5 days ago - In Canada, maritime winds forecast to be in the range of 6 to 7 are designated as ""strong""; 8 to 9 ""gale force""; 10 to 11 ""storm force""; 12"
react,37,hard,The first civilians executed for espionage in the United States for passing atomic bomb secrets to t,Julius and Ethel Rosenberg,The final answer is Julius and Ethel Rosenberg.,1.0,True,False,correct,2,1,277,7.17,{'web_search': 1},react,web_search(forced): Julius and Ethel Rosenberg - Wikipedia: The Rosenbergs were the only American civilians executed for espionage during the Cold War. ... Early Cold War Spies: The Espionage Trials t
react,38,easy,What have you lost if you are suffering from anosmia,Sense of smell,Your sense of smell.,1.0,True,False,correct,2,1,316,8.18,{'web_search': 1},react,"web_search(forced): Anosmia (Loss of Smell): Causes & Treatment: January 26, 2026 - If you have parosmia, your sense of smell is distorted. For example, you may smell a cherry pie, but your brain tell"
react,39,easy,What is the name of Tokyo's seaport ?,YOKOHAMA,The final answer is: Tokyo Seaport (also known as JPTYO),0.0,False,False,knowledge_gap,2,1,265,6.97,{'web_search': 1},react,"web_search(forced): Tokyo - Wikipedia: Tokyo, officially the Tokyo Metropolis, is the capital and most populous city in Japan.The Greater Tokyo Area, which includes Tokyo and parts of six neighboring "
react,40,easy,What is the title of the chief of a lifeboat crew,Coxswain,"Given the context, it can be inferred that",0.0,False,False,knowledge_gap,2,1,410,13.99,{'web_search': 1},react,"web_search(forced): Seafarer's professions and ranks - Wikipedia: The chief engineer, commonly referred to as ""The chief"", or just ""chief"", is responsible for all operations and maintenance that have "
react,41,easy,A frugivore feeds on what?,Fruit,Fruits.,1.0,True,False,correct,2,1,267,6.99,{'web_search': 1},react,web_search(forced): Frugivores are animals that feed on fruits as part of their diet.: What is a Frugivore?Mammals that feed on fruits and can disperse the seed are considered frugivorous. The maned w
react,42,easy,In which film does crooked computer programmer Dennis Nedry cause havoc?,Jurassic Park,The final answer is: Jurassic Park.,1.0,True,False,correct,2,1,283,8.36,{'web_search': 1},react,"web_search(forced): List of Jurassic Park characters - Wikipedia: Dennis Nedry is one of the main human antagonists in the novel and film. In the novel, he is described as an obese, messy and an incre"
react,43,easy,By the year 2010 there were roughly how many bicycles worldwide?,1 billion,The final answer is: over 1 billion,1.0,True,False,correct,2,1,261,6.02,{'web_search': 1},react,"web_search(forced): In 2010, bikes made up about 3 percent of trips inside Paris. Cars ...: May 21, 2026 ... I've been to the Netherlands recently and many people don't cycle even though their infrast"
react,44,easy,"According to the Scaffold song 'Lily the Pink', who had 'terrible freckles'?",Jennifer Eccles,Jennifer Eccles.,1.0,True,False,correct,2,1,299,7.46,{'web_search': 1},react,"web_search(forced): Lily the Pink (song) - Wikipedia: January 18, 2026 - For example, the line ""Mr Frears had sticky-out ears"" refers to film director Stephen Frears, who had worked with The Scaffold "
react,45,easy,What is the title of the final and unfinished novel by Charles Dickens?,The Mystery of Edwin Drood,The Mystery of Edwin Drood,1.0,True,False,correct,2,1,278,7.73,{'web_search': 1},react,"web_search(forced): The Mystery of Edwin Drood - Wikipedia: 2 weeks ago - The Mystery of Edwin Drood is a novel by English author Charles Dickens, originally published in 1870. It was his final novel "
react,46,easy,In which US state is the world’s largest volcano?,Hawaii,Hawaii.,1.0,True,False,correct,2,1,315,8.29,{'web_search': 1},react,"web_search(forced): Mauna Loa - Wikipedia: Mauna Loa is the largest active volcano on Earth and the planet's third largest volcano behind Pūhāhonu, [22] which is also in the Hawaiian chain, and the Ta"
react,47,easy,Which county did Ian Botham join when he left Somerset,Worcestershire,Worcestershire,1.0,True,False,correct,2,1,284,7.47,{'web_search': 1},react,"web_search(forced): Ian Botham - Wikipedia: 3 days ago - After his resignation from Somerset, Botham joined Worcestershire for the 1987 season and spent five seasons with them. In 1987, he scored 126*"
react,48,easy,The American roadrunner belongs to which family of birds?,Cuckoo,The final answer is: The cuckoo family.,1.0,True,False,correct,2,1,277,7.64,{'web_search': 1},react,"web_search(forced): Roadrunner - Wikipedia: The roadrunners (genus Geococcyx), also known as chaparral birds or chaparral cocks, are two species of fast-running ground cuckoos with long tails and cres"
react,49,medium,"What name is given to the dark gap between the rings of the planet Saturn, discovered in 1675?",Cassini's Division,The final answer is: Encke Gap.,0.0,False,False,knowledge_gap,2,1,287,9.82,{'web_search': 1},react,"web_search(forced): Umbra, penumbra and antumbra - Wikipedia: The umbra, penumbra and antumbra are three distinct parts of a shadow, created by any light source after impinging on an opaque object.

R"
react,50,easy,Which Europeans have been proved to have reached North America before Christopher Columbus?,Vikings,Amerigo Vespucci.,0.0,False,False,knowledge_gap,2,1,458,14.74,{'web_search': 1},react,"web_search(forced): Exploration of North America - Wikipedia: 2 weeks ago - It was soon understood that Columbus had not reached Asia, but rather found what was to Europeans a New World, which in 1507"
react,51,medium,Sixty year old Cristina Fernandez de Kirchner is the current president of which South American count,ARGENTINA,Argentina.,1.0,True,False,correct,2,1,269,7.01,{'web_search': 1},react,"web_search(forced): President of Argentina - Wikipedia: The president of Argentina, officially known as the president of the Argentine Nation, is both head of state and head of government of Argentina"
react,52,easy,What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop.,Lamb Chop,1.0,True,False,correct,2,1,239,5.79,{'web_search': 1},react,"web_search(forced): Shari Lewis - Wikipedia: Shari Lewis was a Peabody-winning American ventriloquist, puppeteer, children's entertainer, television show host, dancer, singer, actress, author, and sym"
react,53,easy,Vestiphobia is the irrational fear of which items?,Clothes,The final answer is: Clothing.,0.0,False,False,knowledge_gap,2,1,253,7.03,{'web_search': 1},react,"web_search(forced): List of phobias - Simple English Wikipedia, the free encyclopedia: Phobias are irrational fears of things and situations which can be a danger but most are not harmful. There are m"
react,54,easy,What was the first name of the father of the Bronte sisters?,PATRICK,"The first name of the father of the Bronte sisters was Patrick. However, according to one of the search results, his original name was actually Prunty",0.0,False,False,knowledge_gap,2,1,315,8.71,{'web_search': 1},react,"web_search(forced): Patrick Brontë - Wikipedia: This article is about the Irish clergyman and writer. For the English painter and author, see Branwell Brontë. Patrick Brontë ( ...

Brontë family - Wik"
react,55,easy,Which major computer language shares it's name with an Indonesian Island ?,JAVA,The final answer is Java.,1.0,True,False,correct,2,1,241,6.8,{'web_search': 1},react,"web_search(forced): Java - Wikipedia: Java is one of the Greater Sunda Islands in the South East Asian country of Indonesia. It is bordered by the Indian Ocean to the south and the Java Sea ...

Java "
react,56,easy,In which book did Edgar Linton marry Catherine Eamshaw?,WUTHERING HEIGHTS,The final answer is: Wuthering Heights,1.0,True,False,correct,2,1,306,8.88,{'web_search': 1},react,"web_search(forced): Wuthering Heights - Wikipedia: Wuthering Heights is the only novel by the English author Emily Brontë, initially published in 1847 under her pen name Ellis Bell. It concerns two ex"
react,57,easy,"Which Italian liqueur is a key ingredient of the well known cocktail, Harvey Wallbanger?",GALLIANO,The final answer is: Sambuca,0.0,False,False,knowledge_gap,2,1,272,6.35,{'web_search': 1},react,"web_search(forced): Vermouth - Wikipedia: Four bottles of vermouth: Fot-Li and Yzaguirre, red vermouths from Spain; Punt e Mes, red vermouth from Italy; and Dolin, dry vermouth from France.As previous"
react,58,easy,"Staten Island, New York, is at the mouth of which river?",Hudson,The Hudson River.,1.0,True,False,correct,2,1,658,23.51,{'web_search': 1},react,"web_search(forced): Staten Island - Wikipedia: New York argued that the eastern edge of New Jersey was located at the Hudson River 's shoreline during high tide, which would give New York control of a"
react,59,hard,"The Statue of Liberty, officially presented to the United States on July 4, 1884, holds a torch and ",Right,There is no information in the provided search results to determine which hand holds the torch.,0.0,False,False,knowledge_gap,2,1,287,8.18,{'web_search': 1},react,"web_search(forced): Statue of Liberty - Wikipedia: The statue was dedicated on October 28, 1886. Statue of Liberty; Liberty Enlightening the World. The Statue of Liberty as seen on ...

Overview + His"
react,60,easy,Of which country is Yingluck Shinawatra the Prime Minister?,THAILAND,Thailand.,1.0,True,False,correct,2,1,296,9.38,{'web_search': 1},react,"web_search(forced): Yingluck Shinawatra - Wikipedia: Prime Minister Yingluck Shinawatra with British Prime Minister David Cameron at 10 Downing Street in 2012. On 18 January 2012, Yingluck reshuffled "
react,61,easy,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",LAVOISIER,The final answer is Antoine Lavoisier.,1.0,True,False,correct,2,1,333,8.56,{'web_search': 1},react,"web_search(forced): Antoine Lavoisier - Wikipedia: Lavoisier's devotion and passion for chemistry were largely influenced by Étienne Condillac, a prominent French scholar of the 18th century. His firs"
react,62,easy,Who wrote the opera Faust in 1859?,Charles Gounod,The final answer is: Charles Gounod,1.0,True,False,correct,2,1,281,8.84,{'web_search': 1},react,"web_search(forced): Faust (opera) - Wikipedia: It debuted at the Théâtre Lyrique on the Boulevard du Temple in Paris on 19 March 1859, with influential sets designed by Charles-Antoine Cambon and Jose"
react,63,easy,"Neal Foulds, John Dunning and Mark Williams are associated with which sport?",Snooker,"The sport associated with Neal Foulds, John Dunning and Mark Williams is snooker.",0.0,False,False,knowledge_gap,2,1,302,9.77,{'web_search': 1},react,"web_search(forced): 1988 World Snooker Championship - Wikipedia: First round ; Coral bookmakers' pre-tournament favourite to win, with odds ; John Virgo, finally prevailing 10–8. · Mike Hallett ; Joe "
react,64,easy,Who is the current presenter of BBC Radio 4 programme Desert Island Discs?,Kirsty Young,"Note: The search results do not provide a single, definitive answer to this question. However, based on the information provided, it appears that Laur",0.0,False,False,knowledge_gap,2,1,367,12.56,{'web_search': 1},react,web_search(forced): Desert Island Discs - Wikipedia: Desert Island Discs is a radio programme broadcast on BBC Radio 4. It was first broadcast on the BBC Forces Programme on 29 January 1942. [1] Each 
react,65,medium,"Dragon boat racing, as part of a complex of ceremonies, is thought to have originated where?",China,The Pearl River Delta region of southern China's Guangdong Province.,0.0,False,False,knowledge_gap,2,1,297,9.13,{'web_search': 1},react,web_search(forced): Dragon boat - Wikipedia: A dragon boat is a human-powered watercraft that originated in the Pearl River Delta region of southern China's Guangdong Province. These were made of teak
react,66,easy,What is the pole called which is used for propelling a barge or punt?,A quant,The final answer is: A barge pole or quant pole.,1.0,True,False,correct,2,1,351,9.22,{'web_search': 1},react,"web_search(forced): What is the pole called which is used for propelling a barge or punt?: A barge pole, or quant pole, is used to propel a boat, punt, or barge by pushing into the bottom or riverbed."
react,67,easy,The Walker Art Gallery is in which UK city?,Liverpool,Liverpool.,1.0,True,False,correct,2,1,179,4.81,{'web_search': 1},react,"web_search(forced): Walker Art Gallery - Wikipedia: The Walker Art Gallery is a Grade II* listed art gallery in Liverpool, which houses one of the largest art collections in England outside London.

W"
react,68,medium,"Who performed in the first concert link into space, which was sent from Anaheim California to the sp",Paul McCartney,Paul McCartney.,1.0,True,False,correct,2,1,302,8.38,{'web_search': 1},react,"web_search(forced): First live music concert broadcast to space | Guinness World ...: On 12 November 2005, Paul McCartney (UK) sent a ""wake-up call"" to astronauts Bill McArthur and Valeri Tokarev on t"
react,69,easy,Which canal is known as the 'Highway to India'?,Suez Canal,The final answer is The Suez Canal.,1.0,True,False,correct,2,1,329,7.55,{'web_search': 1},react,"web_search(forced): Suez Canal - Wikipedia: The Suez Canal (/ ˈsuː.ɛz /; Egyptian Arabic: قناة السويس, Qanāt as-Suwais) is an artificial sea-level waterway in Egypt, connecting the Mediterranean Sea t"
react,70,easy,What major American city is located on Puget Sound?,Seattle,Seattle.,1.0,True,False,correct,2,1,223,8.18,{'web_search': 1},react,"web_search(forced): Seattle - Wikipedia: Seattle is situated on an isthmus between Puget Sound, an inlet of the Pacific Ocean, and Lake Washington. It is the northernmost major city in the United ...
"
react,71,medium,"In which North African country was Mohammed Al-Fayed, owner of Harrods department store in London, b",Egypt,The final answer is Egypt.,1.0,True,False,correct,2,1,289,8.01,{'web_search': 1},react,"web_search(forced): Mohamed Al-Fayed - Wikipedia: Mohamed Abdel Moneim Al-Fayed was an Egyptian businessman. His residence and primary business interests were in the United Kingdom from the mid-1960s,"
react,72,hard,What is the name for a set of marks stamped on gold and silver articles to attest to the genuineness,Hall Mark,The final answer is: Hallmark,0.0,False,False,knowledge_gap,2,1,295,8.08,{'web_search': 1},react,web_search(forced): Identifying the Gold Marking on Jewellery: A hallmark is a set of marks stamped on gold Jewellery showing authenticity and quality.Carat (or karat in the U.S.) measures the purity 
react,73,easy,Who played the role of George Carter in The Sweeney?,Dennis Waterman,Dennis Waterman played the role of George Carter in The Sweeney.,0.0,False,False,knowledge_gap,2,1,242,5.87,{'web_search': 1},react,"web_search(forced): Dennis Waterman - Wikipedia: Waterman guest starred in a 1974 Special Branch episode entitled ""Stand and Deliver"". He became a household name as DS George Carter in The Sweeney dur"
react,74,easy,What is the main ingredient in borscht?,Beetroot,Beets,0.0,False,False,knowledge_gap,2,1,337,10.93,{'web_search': 1},react,"web_search(forced): Borscht - Wikipedia: Borscht (English: / ˈbɔːrʃt / ⓘ) is a sour soup, made with meat stock, vegetables and seasonings, common in Eastern Europe, Central Europe and Northern Asia. I"
react,75,easy,"""In the film of the same name, what was the name of """"The Hustler""""?""","""""""Fast Eddie"""" Felson""",The Hustler.,0.0,False,False,knowledge_gap,2,1,345,10.59,{'web_search': 1},react,web_search(forced): Movies Where They Say the Name of the Movie in the Movie - IMDb: Movies Where They Say the Name of the Movie in the Movie · 1. Flying Down to Rio · 2. Bride of Frankenstein · 3. Fo
react,76,easy,Which Russian author died at Astapovo Railway Station in 1910 of pneumonia?,Leo Tolstoy,Leo Tolstoy.,1.0,True,False,correct,2,1,418,13.15,{'web_search': 1},react,"web_search(forced): Leo Tolstoy - Wikipedia: Tolstoy died on 20 November 1910 at the age of 82 of pneumonia, [100] at Astapovo railway station, after a day's train journey south. [101] The stationmast"
react,77,easy,What country does Waterford crystal come from?,Ireland,The country where Waterford Crystal originates from is **Ireland**.,1.0,True,False,correct,2,1,275,8.71,{'web_search': 1},react,"web_search(forced): Waterford Crystal - Wikipedia: Waterford Crystal is an Irish manufacturer of crystal glassware, especially cut glass products. It is named after the city of Waterford in Ireland.

"
react,78,easy,Who was the Georgia Peach?,Ty Cobb,If you're looking for an individual associated with Georgia or,0.0,False,False,knowledge_gap,2,1,455,15.75,{'web_search': 1},react,"web_search(forced): Georgia (U.S. state) - Wikipedia: Of the 50 U.S. states, Georgia is the 24th-largest by area and eighth most populous. According to the U.S. Census Bureau, its 2024 estimated popul"
react,79,easy,What railway line is green on the traditional map of the London Underground (Tube)?,District Line,The Circle line.,0.0,False,False,knowledge_gap,2,1,370,11.66,{'web_search': 1},react,"web_search(forced): Circle line (London Underground) - Wikipedia: The Circle line is a spiral-shaped London Underground line, running from Hammersmith in the west to Edgware Road and then looping arou"
