architecture,task_id,level,question,ground_truth,predicted,score,correct,hop1,source,steps,tool_calls,tokens,time_sec
context_reader,42,easy,Which Victorian poet was born in a 15th-century castle home to the Earl of Southesk?,Charlotte Carnegie,"Robert Browning was born in England, but the Victorian poet mentioned in the",0.0,False,DIRECT,CONTEXT_DIRECT,2,1,135,2.54
context_reader,43,hard,Alexander Petrovich Nikolayev received the title Hero of the Soviet Union and the Order of Lenin for,World War II,World War II,1.0,True,World War II.,CONTEXT,2,1,308,1.92
context_reader,44,easy,Where did Cale Gundy's brother play football in college?,Oklahoma State University,No information about Cale Gundy's brother.,0.0,False,DIRECT,CONTEXT_DIRECT,3,1,303,3.4
context_reader,45,easy,"Who has released more solo albums, Nick Carter or Brady Seals?",Brady Seals,Nick Carter,0.0,False,Nick Carter has released more solo albums.,CONTEXT,2,1,379,2.13
context_reader,46,medium,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque",Nusretiye Mosque,Nusretiye Mosque,1.0,True,Nusretiye Mosque retains Baroque style.,CONTEXT,2,1,277,2.29
context_reader,47,medium,What university did the last Detroit Pistons player to wear the number retired in honor of a player ,Georgetown University,Georgetown University,1.0,True,Georgetown University.,CONTEXT,2,1,300,1.83
context_reader,48,easy,The Atik Valide Mosque and Valens Aqueduct are found in what country?,Turkey,Turkey.,1.0,True,"Istanbul, Turkey.",CONTEXT,2,1,110,1.51
context_reader,49,hard,Which of the four US Presidents who have been assinated was shot on the grounds of the Pan-American ,William McKinley,William McKinley,1.0,True,William McKinley was assassinated.,CONTEXT,2,1,220,1.88
context_reader,50,easy,Who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?,Justin Spitzer,"Reed Agnew 
Eli Jorné",0.0,False,Creator of Superstore is unknown.,CONTEXT,2,1,171,2.15
context_reader,51,easy,Were Halldór Laxness and Timothy Leary from the same country?,no,United States,0.0,False,"Timothy Leary's country. 
United States",CONTEXT,2,1,119,1.78
context_reader,52,medium,Do both Korematsu v. United States and Chaplinsky v. New Hampshire cases regard the rights of U. S. ,yes,Yes,1.0,True,Japanese Americans were interned.,CONTEXT,2,1,127,1.56
context_reader,53,medium, What is the title of the memoir written by the honoree of the Black and White Ball?,Personal History,Personal History,1.0,True,"Title of Katharine Graham's memoir. 
""Personal History"".",CONTEXT,2,1,217,2.14
context_reader,54,medium,What country is the theme park served by the Huis Ten Bosch train service themed on?,Netherlands,Japan,0.0,False,Japan.,CONTEXT,2,1,196,1.58
context_reader,55,easy,The Distribution of Industry act was passed by a man who was prime minister when? ,1945 to 1951,Clement Attlee.,0.0,False,Clement Attlee.,CONTEXT,2,1,342,1.91
context_reader,56,easy,"What Cantonese slang term can mean both ""ghost man"" and to refer to Westerners?",Gweilo,Gweilo,1.0,True,Cantonese slang term is Gweilo.,CONTEXT,2,1,185,2.0
context_reader,57,easy,In what year was the most famous statute at Po Lin Monastery built?,Tian Tan Buddha,Tian Tan Buddha was built in 1993.,1.0,True,DIRECT,CONTEXT_DIRECT,3,1,268,3.5
context_reader,58,medium," The Nike Hoop Summit has had many current NBA players as former participants, including what German",Dirk Werner Nowitzki,Dirk Nowitzki.,1.0,True,"German player from Mavericks.

Answer: Dirk Nowitzki.",CONTEXT,2,1,289,2.44
context_reader,59,medium,Which actor from the South Korean-Thai drama film Final Recipe debuted as a member of Super Junior-M,Henry Lau,Henry,1.0,True,Henry Lau debuted with Super Junior-M.,CONTEXT,2,1,231,1.86
context_reader,60,easy,Are Phlebodium and Pieris both species of ferns?,no,Yes,0.0,False,Phlebodium is a genus of ferns.,CONTEXT,2,1,162,1.88
context_reader,61,easy,Who was the great grandfather of Franklin Seaver Pratt's wife?,Kalokuokamaile,No information about Franklin Seaver Pratt's wife.,0.0,False,DIRECT,CONTEXT_DIRECT,3,1,282,3.36
context_reader,62,easy,At what age did Cieli di Toscana's singer become blind?,Bocelli became completely blind at the age of 12,At age seven.,0.0,False,DIRECT,CONTEXT_DIRECT,3,1,205,3.14
context_reader,63,medium,Which late 1980s and 1990s English super model was featured in the song nasty girl by The Notorious ,Naomi Elaine Campbell,Naomi Campbell.,1.0,True,DIRECT,CONTEXT_DIRECT,2,1,368,2.27
context_reader,64,medium,What is the name of the film directed by Alex Cox  adapted from a 1606 play starring Diana Quick as ,Revengers Tragedy,Diana Quick,0.0,False,Diana Quick is the Duchess.,CONTEXT,2,1,289,2.07
context_reader,65,easy,Josh Trank and Mike Valerio both work in what industry?,entertainment,Film industry.,1.0,True,DIRECT,CONTEXT_DIRECT,2,1,219,1.94
context_reader,66,easy,"Which American comedian born on March 21, 1962, appeared in the movie ""Sleepless in Seattle?""",Rosie O'Donnell,Rosie O'Donnell,1.0,True,Rosie O'Donnell born March 21.,CONTEXT,2,1,194,2.32
context_reader,67,easy,Any Questions for Ben? was directed by which Australian producer and actor?,"Robert Ian ""Rob"" Sitch",Rob Sitch,1.0,True,"Australian producer and actor. 

Rob Sitch",CONTEXT,2,1,118,1.81
context_reader,68,medium,What American indie rock group first had Jesse Sandoval as the drummer and now has Jon Sortland on d,The Shins,The Shins,1.0,True,The Shins' current drummer.,CONTEXT,2,1,216,1.88
context_reader,69,medium,What 3 countries are part of the legal name of the airline that merged with Braathens in 2004?,Denmark–Norway–Sweden,"Norway, Sweden, Denmark.",1.0,True,DIRECT,CONTEXT_DIRECT,3,1,377,3.35
context_reader,70,medium,What is the ratio of flow velocity past a boundary to the local speed of sound for a Saab JAS 39 Gri,2,Not provided in text.,0.0,False,DIRECT,CONTEXT_DIRECT,3,1,187,3.24
context_reader,71,easy,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8,Channel 11 in Billings.,0.0,False,DIRECT,CONTEXT_DIRECT,3,1,404,3.42
context_reader,72,hard,"Which player, who also played for the New Jersey Nets and the Golden State Warriors, finished third ",Mookie Blaylock,Mookie Blaylock,1.0,True,DIRECT,CONTEXT_DIRECT,2,1,375,2.33
context_reader,73,medium,Saltillo Engine is an engine plant in Ramos Arizpe that belongs to the American subsidiary of what c,Fiat Chrysler Automobiles N.V.,Chrysler,1.0,True,American subsidiary of Chrysler.,CONTEXT,2,1,275,1.89
context_reader,74,easy," What type of television show did Dylan Everett star in, in 2015?",American-Canadian mystery-drama,Teen comedy-drama,0.0,False,Dylan Everett starred in Frenemies.,CONTEXT,2,1,246,2.17
context_reader,75,medium,"Which plant, the Chaerophyllum or the Cryptanthus, can be found in various places across the world?",Chaerophyllum,Chaerophyllum can be found worldwide.,1.0,True,DIRECT,CONTEXT_DIRECT,2,1,411,2.43
context_reader,76,medium,"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atla",Tropicana Casino & Resort,Tropicana Casino & Resort.,1.0,True,Tropicana Casino & Resort.,CONTEXT,2,1,178,2.14
context_reader,77,easy,Who wrote the lyrics for Linda Eder's Broadway debut?,"Wildhorn, Bricusse and Cuden",Bill Grainer wrote the lyrics.,0.0,False,DIRECT,CONTEXT_DIRECT,2,1,281,2.23
context_reader,78,hard,"The Company They Keep is a book written by Diana Pavlac Glyer, who is a professor at a university in",evangelical Christian,Diana Pavlac Glyer,0.0,False,Diana Pavlac Glyer.,CONTEXT,2,1,287,2.23
context_reader,79,medium,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show,The Late Late Show,1.0,True,"Host of ""The Late Late Show""",CONTEXT,2,1,274,2.14
context_reader,80,hard,What was the slogan  that came about from the idea of Lebensraum which had its most extreme form sup,Blood and soil,Drang nach Osten,0.0,False,Most extreme form of Lebensraum.,CONTEXT,2,1,215,2.1
context_reader,81,easy,Olivia DeJonge starred in an American horror film directed by Shyamalan called what,The Visit,The Visit,1.0,True,Olivia DeJonge starred in The Visit.,CONTEXT,2,1,194,2.1
context_reader,82,medium,Who conducted the negotiations  with the owners and the longest serving commandant of Auschwitz conc,Rudolf Höss,Kurt Gerstein,0.0,False,Kurt Gerstein conducted negotiations.,CONTEXT,2,1,372,2.05
context_reader,83,medium,What genre is the novel from which the fast-food restaurant specializing in seafood derives its name,an adventure novel,Pirate adventure,0.0,False,"Novel from which Long John Silver's derives its name. 
Treasure Island by Robert Louis Stevenson",CONTEXT,2,1,229,2.57
context_reader,84,easy,What kind of musicians are Mark Gaudet and Jan Axel Blomberg?,drummer,Black metal musicians.,0.0,False,Jan Axel Blomberg is Hellhammer.,CONTEXT,2,1,184,1.99
context_reader,85,easy,A Wind in the Door is part of a series written by who?,Madeleine L'Engle,Madeleine L'Engle wrote it.,1.0,True,DIRECT,CONTEXT_DIRECT,2,1,275,2.37
context_reader,86,easy,The Airport located next to the A13 handled how many passengers in 2016 ?,1.6 million passengers,No information provided about A13 airport.,0.0,False,DIRECT,CONTEXT_DIRECT,3,1,326,3.41
context_reader,87,medium,"The town of Sinclair, West Virginia, is named after the founder of the local oil drilling company. W",dinosaur,A derrick.,0.0,False,Sinclair Oil's famous logo features a derrick.,CONTEXT,2,1,169,2.13
context_reader,88,medium,Jihad: A Story of the Others is a documentary by the director who is of what descent?,Punjabi/Pashtun,Deeyah Khan,0.0,False,Deeyah Khan is Norwegian.,CONTEXT,2,1,322,2.0
context_reader,89,hard,Minor league baseball games that were played between the rivalling teams of the Sooners and the Cowb,Drillers Stadium,Ruppert Stadium,0.0,False,DIRECT,CONTEXT_DIRECT,2,1,356,2.12
context_reader,90,medium,Cooperative Living Organization is located in a city that is the county seat of what county in Flori,Alachua,Hillsborough County,0.0,False,Hillsborough County is the county.,CONTEXT,2,1,325,2.05
context_reader,91,easy,"What is the pen name of author Carolyn Janice Cherry, who wrote the Fortress Series?","Carolyn Janice Cherry (born September 1, 1942), better known by the pen name C. J. Cherryh,",C. J. Cherryh,1.0,True,Carolyn Janice Cherry.,CONTEXT,2,1,303,2.18
context_reader,92,easy,"Which dog is believed to dispel ghosts and evil spirits, Segugio Italiano or Sapsali?",Sapsali,Sapsali,1.0,True,Sapsali is believed to dispel ghosts.,CONTEXT,2,1,277,2.17
context_reader,93,hard,Which French aristocrat and military officer who fought in the American Revolutionary War visited th,Marquis de Lafayette,Marquis de Lafayette,1.0,True,Marquis de Lafayette visited The Cellar.,CONTEXT,2,1,217,2.07
context_reader,94,medium,What sports team included both of the brothers Case McCoy and Colt McCoy during different years?,University of Texas Longhorns,Texas Longhorns football team.,0.0,False,Texas Longhorns football team.,CONTEXT,2,1,254,2.16
context_reader,95,medium,Which member of The New Russian School was both a doctor and a chemist besides being a composer?,Alexander Porfiryevich Borodin,Alexander Borodin,1.0,True,Alexander Borodin was a doctor.,CONTEXT,2,1,227,2.04
context_reader,96,easy,"Susanna Thompson appeared in the courtroom drama film Ghosts of Mississippi, directed by who?",Rob Reiner,Rob Reiner,1.0,True,Directed by Rob Reiner.,CONTEXT,2,1,204,2.02
context_reader,97,medium,Live Wire Radio will possibly be considered as a replacement for a variety show created in what year,1974,2004,0.0,False,2004 was launched.,CONTEXT,2,1,161,1.69
context_reader,98,medium,Luke Rockhold defeated the MMA fighter who was the first to earn a win against which champion in the,Anderson Silva,Chris Weidman was defeated.,0.0,False,DIRECT,CONTEXT_DIRECT,2,1,354,2.2
context_reader,99,easy,What type of art does The Consul and Arlecchino have in common?,music,Both are related to consul.,0.0,False,DIRECT,CONTEXT_DIRECT,3,1,353,3.33
